"averageRating";"numVotes";"title_basics_titleBasicsId"
5.6;1589;1
6.1;192;2
6.5;1253;3
6.2;119;4
5.2;109;6
5.4;628;7
6.9;5701;10
7.4;9734;12
5.7;1496;13
7.1;4244;14
5.9;1129;16
4.7;228;17
5.3;462;18
5.5;17;19
5.0;256;20
5.1;839;22
4.3;26;25
4.5;472;36
4.6;39;37
4.1;142;38
3.9;13;39
6.6;1343;41
4.0;12;43
4.4;16;45
4.2;16;46
3.6;14;47
4.9;119;48
2.8;8;53
3.8;15;55
3.4;10;56
3.7;12;59
7.8;60;60
3.5;12;64
5.8;40;67
6.4;2149;70
6.3;1466;75
4.8;17;77
6.7;2603;91
6.8;32;129
7.0;31;181
7.5;3152;211
6.0;1235;248
7.3;6;271
7.6;8;276
7.2;6;328
8.1;10;361
8.2;40968;417
8.0;6;618
3.2;9;817
2.9;7;911
3.3;9;1049
3.1;11;1184
8.5;8;1456
7.7;2396;1527
8.7;7;2145
8.9;11;2309
9.0;5;2434
8.3;9;2451
7.9;11;2687
1.8;11;4381
1.5;10;4398
3.0;22;4545
2.0;9;5411
1.0;9;5667
1.7;10;5802
2.5;13;6144
8.4;24;6160
2.4;14;6201
1.1;10;6280
2.1;10;6836
8.6;5;7486
8.8;93;8381
1.3;9;8817
2.6;7;8821
2.2;11;11148
9.4;12;12297
1.6;9;12772
2.3;11;15505
2.7;11;15689
9.7;6;15927
1.9;78;16358
1.4;11;17895
9.2;6;36520
9.3;9;36658
9.1;11;40749
9.6;5;53560
9.5;32;55416
9.8;18;57955
10.0;6;61857
1.2;43;88419
9.9;9;223767
